employee_id,gender,department,job_level,employment_type,attendance_rate,overtime_hours,leave_days,performance_score,basic_salary,allowances,bonus,tax,deductions,previous_salary,actual_salary_paid,expected_salary,salary_deviation,salary_deviation_ratio,bonus_ratio,deduction_ratio,salary_change,anomaly_label
1,Male,IT,3,Full-time,0.84,23.77,1,4.33,163716,31073.1,14571.49,16371.6,7871.3,157074,197751.39252405913,185117.69,12633.702524059132,0.068246867838828,0.08900467883407852,0.04807899044687141,40677.392524059134,1
2,Male,Operations,4,Full-time,0.76,24.25,0,4.58,212280,27989.3,20263.45,21228.0,11253.56,209444,234190.66783322327,228051.19,6139.477833223267,0.02692149000942844,0.09545623704541173,0.05301281326549839,24746.66783322327,0
3,Male,Operations,5,Full-time,0.83,13.12,4,3.58,282575,40601.61,57352.33,28257.5,12746.65,290431,332260.59739583026,339524.79,-7264.192604169715,-0.021395175899143377,0.2029632133062019,0.04510890913916659,41829.597395830264,0
4,Female,HR,4,Contract,0.86,19.63,2,3.0,306092,54219.66,60637.94,30609.2,8681.1,296304,370360.87038931774,381659.30000000005,-11298.429610682302,-0.02960344372764479,0.1981036420422618,0.028361080982188362,74056.87038931774,0
5,Male,Sales,3,Part-time,0.9,4.26,1,2.66,171165,41478.9,49878.85,17116.5,28329.78,172194,212271.36048064957,217076.47,-4805.10951935043,-0.02213556135011054,0.2914079981304589,0.16551152396810095,40077.36048064957,0
6,Male,IT,4,Full-time,0.92,11.0,2,2.81,311080,54213.94,18228.4,31108.0,57138.45,312350,292942.3400016538,295275.89,-2333.5499983461923,-0.007902947979756126,0.0585971454288286,0.18367767133856241,-19407.65999834618,0
7,Female,IT,4,Contract,0.81,16.56,0,3.28,249612,44433.48,46596.96,24961.2,13297.78,242194,308291.19263996324,302383.45999999996,5907.732639963273,0.019537221513251,0.1866775635786741,0.05327380093905742,66097.19263996324,0
8,Female,Operations,3,Contract,0.77,4.9,1,2.61,219261,32625.94,32268.49,21926.1,15094.55,211540,248505.7262495198,247134.78000000003,1370.9462495197658,0.005547362655793594,0.1471693096355485,0.06884284026799112,36965.726249519794,0
9,Male,HR,3,Full-time,0.96,8.92,1,3.2,235176,42661.96,20044.3,23517.6,38661.87,228485,230287.41399755236,235702.79000000004,-5415.37600244768,-0.022975442940016445,0.08523106099261829,0.16439547402796204,1802.4139975523576,0
10,Female,Finance,4,Contract,0.75,20.39,2,4.27,221316,46332.74,53739.42,22131.6,7376.03,223446,296773.94031072693,291880.52999999997,4893.410310726962,0.016765113831768645,0.24281760017350756,0.03332804677474742,73327.94031072693,0
